Instrument,ISIN,Mnemonic
DP WORLD LTD    DL 2,AEDFXA0M6V00,3DW
"SINOVAC BIOTECH   DL-,001",AGP8696W1045,SVQ
"SCHLUMBERGER   DL-,01",AN8068571086,SCL
HUNTER DOUGLAS      EO-24,ANN4327C1220,HUD
"ORTHOFIX INT.      DL-,10",ANN6748L1027,OFX
"SAPIENS INTL NV    DL-,01",ANN7716A1513,SPS1
BBVA BCO FR.         AP 1,ARP125991090,BDPA
STRABAG SE,AT000000STR1,XD4
AMAG AUSTRIA METALL INH.,AT00000AMAG3,AM8
FACC AG INH.AKT.,AT00000FACC2,1FC
FLUGHAFEN WIEN AG,AT00000VIE62,FLW1
RAIFF.-TOPDIVID.-AKT.R A,AT0000495288,RKC3
SCHOELLERBK ZINSSTR.PL. A,AT0000497409,J7NE
AGRANA BET.AG INH.,AT0000603709,AGB1
RAIFFEISEN BK INTL INH.,AT0000606306,RAW
PORR AG,AT0000609607,ABS2
SCHOELLERBK AKT.WAEHRG.T,AT0000612692,J7N0
C-QUADRAT INVESTM.AG EO 1,AT0000613005,C8I
RAIFF.EMERGINMARKE.RA ST.,AT0000636733,RKCC
RAIFF.-EUR.-SM.CAP RA ST.,AT0000638986,RKC0
RAIFF.-EUR.-SM.CA.RVT ST.,AT0000639000,RKC4
CA IMMOB.ANL.,AT0000641352,BZY
LENZING AG,AT0000644505,LEN
ERSTE RESPONS.ST.EUR.T,AT0000645973,IWTJ
ERSTE RESPON.STOCK GL T,AT0000646799,IWTK
ERSTE GROUP BNK INH. O.N.,AT0000652011,EBO
S IMMO AG,AT0000652250,T1L
3 BANKEN OESTERREICH-FDS,AT0000662275,FH6C
ESPA STOCK BIOTEC VT,AT0000673165,IFWJ
PIONEER AT-GOLD STK VT,AT0000674916,JYJG
PIONEER AT-GOLD STK T,AT0000675095,FHDR
KEPLER ETHIK AKTIENF. A,AT0000675657,K1A4
KEPLER ETHIK AKTIENF. T,AT0000675665,K1A5
RHI AG,AT0000676903,RAD
RAIFF.-NACHH.F-AKT.RA ST.,AT0000677901,RKC9
RAIFF.-NACHH.-AKT. RV ST.,AT0000677927,RKCA
ERSTE RESPONSIBLE BOND T,AT0000686084,IWTH
RAIFFEISEN-ENERG.-A.A ST,AT0000688668,RKC8
RAIFFEISEN-ENERG.A.RVT S,AT0000688684,RKCB
RAIFF.-EOPLUS-RENT RVTST.,AT0000689971,RK1R
CONWERT IMMOBILIEN INVEST,AT0000697750,COR
3 BANKEN NACHHALTIGKEITS.,AT0000701156,FH6F
TRI STYLE FUND T,AT0000701164,W8S2
TRI STYLE FUND VT,AT0000701172,W8S1
DWS AUSTRIA VERMOEGENS. T,AT0000704176,D1WA
ERSTE WWF STOCK ENVIR. A,AT0000705660,IWT8
ERSTE WWF STOCK ENVIR. T,AT0000705678,IWTL
PIONEER AT-ENERGY ST.VT,AT0000706577,FHDL
SPAENG.IQAM EQUITY US RT,AT0000709977,FP8D
3 BK AMER.STOCK-MIX INH.,AT0000712591,FH6H
TELEKOM AUSTRIA AG,AT0000720008,TA1
ESPA RESERVE EO(T)(EUR),AT0000724307,IWTG
ANDRITZ AG,AT0000730007,AZ2
BWT AG,AT0000737705,TWB
RAIFF.-OSTEUR.-RENT RAST.,AT0000740642,RKC2
RAIFF.-OSTEUR.-RENT T,AT0000740659,RKCG
RAIFF.-OSTEUR.-RENT VT,AT0000740667,RKC6
EVN AG,AT0000741053,EVN
OMV AG,AT0000743059,OMV
RAIFF.EURASIEN-AKT.RA ST.,AT0000745856,RK1U
RAIFF.EURASIEN-AKT.R T,AT0000745864,RK15
RAIFF.EURASIEN-AKT.R VT S,AT0000745872,RK1V
VERBUND AG       INH. A,AT0000746409,OEWA
ESPA STOCK BIOTEC A,AT0000746748,IWTQ
ESPA STOCK BIOTEC T,AT0000746755,IWTD
PIONEER AT-HEALTH.ST.A,AT0000754270,FHDS
KEPLER LIQUID A,AT0000754668,K1A1
PALFINGER AG,AT0000758305,PFI
3 BANKEN LONG TERM EUR. T,AT0000760749,FH6I
FRAUENTHAL HLDG AG,AT0000762406,F1H
RAIFF.-PAZIF.-AKT.(R)A ST,AT0000764154,RK1W
RAIFF.-PAZIFIK-AKT.(R)T,AT0000764162,RKCE
RAIFF.-OE.-AKT.(R) VT ST.,AT0000765573,RK1S
SANOCHEM. PHARMAZEUTIKA,AT0000776307,SAC
RAIFFEISEN-EO-SHTT.R.RVTS,AT0000785209,RK16
RAIFF.-EUROPA-AKTIEN VTA,AT0000785225,RK1C
RAIFF.-GLOB.-AKT.R VT ST.,AT0000785266,RK1N
RAIFF.-EURO-RENT R VT ST,AT0000785308,RK1D
FABASOFT AG,AT0000785407,FAA
SEMPERIT AG HLDG,AT0000785555,SEW
VB DIVIDEND-INVEST A,AT0000793732,4N42
RAIFF.-EM.MKTS-AKT.RA ST.,AT0000796404,RKC1
RAIFF.-EM.MKTS-AKTIEN R T,AT0000796412,RK18
RAIFF.-EUROPA-HGHY.RA ST.,AT0000796529,RK1G
RAIFF.-EUROPA-HGHYIELD RT,AT0000796537,RK1Q
KEPLER VORSORGE REN.ANT.A,AT0000799861,K1A8
PANKL RACING SYS,AT0000800800,PKL
3 BK EUR.STOCK-MIX ANT(R),AT0000801014,FH6B
ALL WORLD INHABER-ANT. T,AT0000801170,J7N2
H+A PRIME VAL.GROWTH EO A,AT0000803689,G4NA
RAIFF.-OEST.-AKT. (R) T,AT0000805189,RK13
RAIFF.-EOPLUS-RENT (R) T,AT0000805221,RK1K
RAIFF.-NACHHALTIGKEIT R T,AT0000805361,RKCI
RAIFF.-EUROPA-AKTIEN T,AT0000805387,RK14
RAIFF.-EURO-RENT R T,AT0000805445,RK1F
RAIFF.-OSTEUR.-AKT. T,AT0000805460,RK12
RAIFF.-GLOBAL-RENT (R) T,AT0000805486,RK1J
IMMOFINANZ AG INH.,AT0000809058,IMO
AMUNDI EUROPA STOCK T,AT0000810445,4I31
ESPA STOCK EUR. EM. TCAPL,AT0000812938,IWTC
ESPA RESER.EO PL.(T)(EUR),AT0000812979,IWT7
ESPA STOCK VIENNA T,AT0000813001,IWTF
KEPLER ETHIK RENTENF. A,AT0000815006,K1A6
UBM DEVELOPMENT AG,AT0000815402,2U2
UNTERN.INVEST,AT0000816301,UIA
3 BANKEN PORTFOLIO-MIX A,AT0000817838,FH6D
SPAEN.IQAM SHORTTERM EORT,AT0000817952,FP82
SPAE.IQAM SPARTR.M RT,AT0000817960,FP8E
SEILERN GLOBAL TRUST T,AT0000818000,FP8B
DO + CO AG,AT0000818802,DOQ
MACQUARIE MS EQS WES.EU.T,AT0000819792,D5X2
KLASSIK MEGATRENDS THES.,AT0000820147,R24A
SCHOELLERBK AKTIENF.VAL.T,AT0000820378,J7N6
KTM INDUSTRIES AG,AT0000820659,BFC
UNIQA INSURANCE GROUP AG,AT0000821103,UN9
SPAEN.IQAM EQ.EMER.MKT.RT,AT0000823281,FP8F
WARIMPEX FIN.U.BETEIL. AG,AT0000827209,WFS
ERSTE BOND DANUBIA A,AT0000831409,IWTB
WIENERBERGER,AT0000831706,WIB
WOLFORD AG,AT0000834007,WOF
ZUMTOBEL GROUP AG INH. A,AT0000837307,T9Z
3 BK SH. TERM EUROBD MIX,AT0000838602,FH6A
ERSTE BOND EMERG. MKTS A,AT0000842521,IWTA
VB PACIFIC-INVEST T,AT0000855838,4N43
VB EUROPA-INVEST T ANT.,AT0000855846,4N44
PIONEER AT-EO GOV.BD A,AT0000856026,FHDA
3 BANKEN EURO BOND-MIX A,AT0000856323,FH6E
AMUNDI EUROP.BLUE CH.ST.A,AT0000856521,4I32
PIONEER AT-GOLD STK A,AT0000857040,FHDJ
PIONEER AT-AUSTRIA ST.A,AT0000857412,FHDD
SPAE.IQAM SPARTR.M RA,AT0000857743,FP86
SPAE.IQAM QUA.EQ.EURO.RT,AT0000857750,FP85
SPAEN.IQAM SHORTTERM EORA,AT0000857768,FP81
ESPA RES.EO PL.(A)(EUR),AT0000858105,IWT1
ESPA STOCK VIENNA A,AT0000858147,IWT4
ESPA BD EO-MUENDELRENT A,AT0000858220,IWTM
ESPA STOCK EUR. EMERG.INH,AT0000858428,IWT5
ESPA BOND EURO-MIDTERM A,AT0000858568,IWTE
RT VIF VERS.INT.FDS.INH.A,AT0000858907,FK9C
RT VORSORGE 14 RENT.INH.,AT0000858915,FK9A
RT VIF VERS.INT.FDS.INH.T,AT0000858956,FK9B
RAIFF.-EOPLUS-RENT RA ST.,AT0000859509,RK1L
RAIFF.-NACHHALTIGKT. R A,AT0000859517,RK1A
RAIFF.-GLOBAL-AKT.R A ST.,AT0000859525,RK1B
RAIFFEISEN-EO-SHTT.R.RAST,AT0000859541,RK1Z
RAIFF.-GLOB.-RENT(R)A ST.,AT0000859582,RK1M
SCHOELLERBK VORSORGEFDS A,AT0000902424,J7N5
SUPERIOR 3 - ETHIK,AT0000904909,BS91
VIENNA INSURANCE GRP INH.,AT0000908504,WSV2
SCHOELLERBK ANLEIHEFDS A,AT0000913926,J7N3
SCHOELLERBK AKTIENF.VAL.A,AT0000913942,J7N4
ROSENBAUER INTL,AT0000922554,ROI
SPAENG.IQAM EQ.EUROPE RT,AT0000925888,FP84
RAIFF.-OSTEUR.-AKT.RA ST.,AT0000936513,RK11
VOESTALPINE AG,AT0000937503,VAS
MAYR-MELNHOF KARTON,AT0000938204,MYM
SCHOELLERBANK KURZINV. A,AT0000944806,J7N1
SCHOELLER-BLECKMANN OILF.,AT0000946652,SLL
KEPLER VORSORGE MIX.R A,AT0000969787,K1AN
AT+S AUSTR.T.+SYSTEMT.,AT0000969985,AUS
H+A PRIME VALUES INC.A EO,AT0000973029,G4NC
3 BANKEN EUROPA BD-MIX,AT0000986344,FH6J
RAIFF.-EUROPA-AKTIEN A,AT0000986377,RK1P
SPAE.IQAM QUAL.EQ.PACI.RT,AT0000991922,FP8G
RAIFF.-EURO-RENT R A ST.,AT0000996681,RK1H
MEINL GLOBAL PROPERTY T,AT0000A000C8,M8F1
POLYTEC HLDG AG INH. EO 1,AT0000A00XX9,P4N
PETRO WELT TECHNOLOGIE.AG,AT0000A00Y78,O2C
GLOBAL EQU.VALUE SELECT T,AT0000A010J2,G4ND
ERSTE RESPON.STOCK GL A,AT0000A01GL7,IWTW
ERSTE RESP.RES.(T)(EUR),AT0000A03969,IWV6
MEINL EASTERN EUROPE T,AT0000A05JR9,M8F2
SPAE.IQAM QUA.EQ.EURO.RA,AT0000A090C9,FP83
S+T AG (Z.REG.MK.Z.)O.N.,AT0000A0E9W5,SANT
AUTOBANK AG INH.AKT.,AT0000A0K1J1,AW2
AMS AG,AT0000A18XM4,DQW1
OESTERREICH. POST AG,AT0000APOST4,O3P
KAPSCH TRAFFICCOM AG,AT000KAPSCH9,BZ6
BUWOG AG,AT00BUWOG001,BWO
1-PAGE LTD,AU0000001PG3,I8Y
88 ENERGY LTD,AU00000088E2,POQ
AURORA LABS LTD.,AU000000A3D7,0FR
AUSTRALIAN AGRICULT.,AU000000AAC9,AY5
ADELAIDE BR.,AU000000ABC7,GHO
AUSTRALIAN BAUXITE LTD.,AU000000ABX3,A7B
